Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2
Line.LINE268, 7.32657E-010,   -33.79,    0.24062,  -168.23, 1.16561E-009,    92.86,          0,     0.00,    0.24062,  -168.23, 7.32657E-010,   146.21,    0.24062,    11.77, 1.16561E-009,   -87.14,          0,     0.00,    0.24062,    11.77
Line.LINE269,   0.204244,   -48.19, 3.97953E-010,  -177.12, 1.41274E-010,  -124.51,          0,     0.00,   0.204244,   -48.19,   0.204244,   131.81, 3.97953E-010,     2.88, 1.41274E-010,    55.49,          0,     0.00,   0.204244,   131.81
Line.LINE270, 7.47032E-010,   -31.51, 1.94521E-010,  -142.02,   0.240928,    71.79,          0,     0.00,   0.240928,    71.79, 7.47032E-010,   148.49, 1.94521E-010,    37.98,   0.240928,  -108.21,          0,     0.00,   0.240928,  -108.21
Line.LINE271,    10.1446,   -48.16,    10.3852,  -168.24,    5.23141,    71.78,          0,     0.00,    5.02567,  -110.56,    10.1446,   131.84,    10.3852,    11.76,    5.23141,  -108.22,          0,     0.00,    5.02567,    69.44
Line.LINE272,   0.953428,   -48.19, 3.0523E-010,  -143.42, 1.45519E-011,     0.00,          0,     0.00,   0.953428,   -48.19,   0.953428,   131.81, 3.0523E-010,    36.58, 1.45519E-011,   180.00,          0,     0.00,   0.953428,   131.81
Line.LINE273, 1.87714E-009,    60.26, 2.98169E-009,   141.34, 9.31323E-010,   180.00,          0,     0.00, 4.19741E-009,   123.69, 1.87714E-009,  -119.74, 2.98169E-009,   -38.66, 9.31323E-010,     0.00,          0,     0.00, 4.19741E-009,   -56.31
Line.LINE274, 4.80671E-010,   -48.53, 1.56911E-009,    32.07,   0.454603,    71.79,          0,     0.00,   0.454603,    71.79, 4.80671E-010,   131.47, 1.56911E-009,  -147.93,   0.454603,  -108.21,          0,     0.00,   0.454603,  -108.21
Line.LINE275, 5.99321E-012,   119.24,   0.254239,  -168.23,          0,     0.00,          0,     0.00,   0.254239,  -168.23, 5.99321E-012,   -60.76,   0.254239,    11.77,          0,     0.00,          0,     0.00,   0.254239,    11.77
Line.LINE276, 8.84801E-010,   -33.15,    0.24062,  -168.23, 1.16424E-009,    90.72,          0,     0.00,    0.24062,  -168.23, 8.84801E-010,   146.85,    0.24062,    11.77, 1.16424E-009,   -89.28,          0,     0.00,    0.24062,    11.77
Line.LINE277,   0.204244,   -48.19, 2.27439E-010,   178.63, 3.56745E-010,  -101.77,          0,     0.00,   0.204244,   -48.19,   0.204244,   131.81, 2.27439E-010,    -1.37, 3.56745E-010,    78.23,          0,     0.00,   0.204244,   131.81
Line.LINE278, 7.78895E-010,   -27.84, 3.37497E-010,  -149.20,   0.240928,    71.79,          0,     0.00,   0.240928,    71.79, 7.78895E-010,   152.16, 3.37497E-010,    30.80,   0.240928,  -108.21,          0,     0.00,   0.240928,  -108.21
Line.LINE279,    10.1446,   -48.16,    10.3852,  -168.24,    5.23141,    71.78,          0,     0.00,    5.02567,  -110.56,    10.1446,   131.84,    10.3852,    11.76,    5.23141,  -108.22,          0,     0.00,    5.02567,    69.44
